STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
Haryana,2011,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2011,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2011,Love Affairs,0,10,1,0,0,11,0,5,1,0,0,6,17
Haryana,2011,"Physical Abuse (Rape,Incest Etc.)",0,2,0,0,0,2,0,0,0,0,0,0,2
Haryana,2011,Poverty,0,1,4,5,1,11,0,0,0,0,0,0,11
Haryana,2011,Professional/Career Problem,2,37,25,26,3,93,0,4,7,12,0,23,116
Haryana,2011,Property Dispute,0,30,24,7,3,64,0,13,8,7,2,30,94
Haryana,2011,Unemployment,0,26,14,0,0,40,0,1,0,0,0,1,41
Haryana,2011,Causes Not known,7,60,49,23,7,146,0,31,14,4,0,49,195
Haryana,2011,Other Causes (Please Specity),50,564,491,230,51,1386,24,182,138,54,8,406,1792
Haryana,2011,Total,70,961,885,441,107,2464,25,380,252,107,17,781,3245
Haryana,2011,Total Illness,2,70,74,56,28,230,1,36,23,8,4,72,302
Haryana,2012,Bankruptcy or Sudden change in Economic,0,3,4,0,1,8,0,2,2,0,0,4,12
Haryana,2012,Suspected/Illicit Relation,0,3,1,0,0,4,0,1,0,0,0,1,5
Haryana,2012,Cancellation/Non-Settlement of Marriage,0,7,1,1,0,9,0,3,0,0,0,3,12
Haryana,2012,Not having Children(Barrenness/Impotency,0,3,1,0,0,4,0,3,6,0,0,9,13
Haryana,2012,Illness (Aids/STD),0,0,1,0,0,1,0,0,0,0,0,0,1
Haryana,2012,Cancer,0,1,0,2,1,4,0,0,0,0,0,0,4
Haryana,2012,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2012,Insanity/Mental Illness,0,34,28,23,7,92,0,22,15,3,2,42,134
Haryana,2012,Other Prolonged Illness,1,28,52,40,20,141,3,19,11,4,3,40,181
Haryana,2012,Death of Dear Person,0,0,1,0,0,1,0,4,0,0,0,4,5
Haryana,2012,Dowry Dispute,0,0,0,0,0,0,0,1,0,0,0,1,1
Haryana,2012,Divorce,0,1,0,1,0,2,0,0,0,0,0,0,2
Haryana,2012,Drug Abuse/Addiction,0,20,32,17,2,71,0,0,1,0,0,1,72
Haryana,2012,Failure in Examination,3,32,2,0,0,37,0,15,0,0,0,15,52
Haryana,2012,Fall in Social Reputation,0,0,1,1,0,2,0,0,0,0,0,0,2
Haryana,2012,Family Problems,2,76,100,40,4,222,0,62,37,9,6,114,336
Haryana,2012,Ideological Causes/Hero Worshipping,4,23,10,10,2,49,1,17,15,5,3,41,90
Haryana,2012,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2012,Love Affairs,0,14,2,0,0,16,0,3,0,1,0,4,20
Haryana,2012,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,4,0,0,0,4,4
Haryana,2012,Poverty,0,2,3,3,0,8,0,0,0,0,0,0,8
Haryana,2012,Professional/Career Problem,0,11,19,5,0,35,0,4,3,0,0,7,42
Haryana,2012,Property Dispute,0,22,21,12,1,56,0,17,11,2,1,31,87
Haryana,2012,Unemployment,0,50,29,9,2,90,1,14,0,0,0,15,105
Haryana,2012,Causes Not known,14,233,191,89,49,576,14,69,41,16,3,143,719
Haryana,2012,Other Causes (Please Specity),19,203,238,144,39,643,9,97,92,63,16,277,920
Haryana,2012,Total,43,766,737,397,128,2071,28,357,234,103,34,756,2827
Haryana,2012,Total Illness,1,63,81,65,28,238,3,41,26,7,5,82,320
Himachal Pradesh,2001,Bankruptcy or Sudden change in Economic,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Suspected/Illicit Relation,0,0,1,0,0,1,0,2,0,0,0,2,3
Himachal Pradesh,2001,Cancellation/Non-Settlement of Marriage,0,0,0,0,0,0,0,1,1,0,0,2,2
Himachal Pradesh,2001,Not having Children(Barrenness/Impotency,0,0,1,0,0,1,0,0,2,0,0,2,3
Himachal Pradesh,2001,Illness (Aids/STD),0,0,0,1,0,1,0,0,0,0,0,0,1
Himachal Pradesh,2001,Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Insanity/Mental Illness,0,0,5,4,0,9,0,4,5,0,0,9,18
Himachal Pradesh,2001,Other Prolonged Illness,0,2,1,9,2,14,0,3,2,3,0,8,22
Himachal Pradesh,2001,Death of Dear Person,0,1,0,0,0,1,0,2,0,1,0,3,4
Himachal Pradesh,2001,Dowry Dispute,0,1,0,0,0,1,0,9,1,0,0,10,11
Himachal Pradesh,2001,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Drug Abuse/Addiction,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Failure in Examination,1,5,0,0,0,6,1,4,0,0,0,5,11
Himachal Pradesh,2001,Fall in Social Reputation,0,0,1,0,0,1,0,0,0,0,0,0,1
Himachal Pradesh,2001,Family Problems,0,13,25,11,2,51,0,25,11,2,0,38,89
Himachal Pradesh,2001,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Love Affairs,0,1,3,0,0,4,0,7,1,0,0,8,12
Himachal Pradesh,2001,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Poverty,0,2,1,4,2,9,0,0,0,3,4,7,16
Himachal Pradesh,2001,Professional/Career Problem,0,1,0,0,0,1,0,1,1,0,0,2,3
Himachal Pradesh,2001,Property Dispute,0,0,1,0,0,1,0,0,3,0,0,3,4
Himachal Pradesh,2001,Unemployment,0,4,2,0,0,6,0,0,0,0,0,0,6
Himachal Pradesh,2001,Causes Not known,0,12,13,10,3,38,1,6,8,2,1,18,56
Himachal Pradesh,2001,Other Causes (Please Specity),0,12,10,10,0,32,1,6,3,3,0,13,45
Himachal Pradesh,2001,Total,1,54,64,49,9,177,3,70,38,14,5,130,307
Himachal Pradesh,2001,Total Illness,0,2,6,14,2,24,0,7,7,3,0,17,41
Himachal Pradesh,2002,Bankruptcy or Sudden change in Economic Status,0,2,0,0,0,2,0,0,0,0,0,0,2
Himachal Pradesh,2002,Suspected/Illicit Relation,0,1,2,0,0,3,0,1,0,0,0,1,4
Himachal Pradesh,2002,Cancellation/Non-Settlement of Marriage,0,3,0,0,0,3,0,3,1,0,0,4,7
Himachal Pradesh,2002,Not having Children (Barrenness/Impotency,0,1,1,0,0,2,0,1,1,0,0,2,4
Himachal Pradesh,2002,Illness (Aids/STD),0,0,0,3,2,5,0,1,3,0,0,4,9
Himachal Pradesh,2002,Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2002,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2002,Insanity/Mental Illness,0,5,4,6,1,16,0,2,3,2,1,8,24
Himachal Pradesh,2002,Other Prolonged Illness,0,4,6,2,0,12,0,5,1,1,1,8,20
Himachal Pradesh,2002,Death of Dear Person,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2002,Dowry Dispute,0,0,0,0,0,0,0,6,0,0,0,6,6
Himachal Pradesh,2002,Divorce,0,0,0,0,0,0,0,0,1,0,0,1,1
Himachal Pradesh,2002,Drug Abuse/Addiction,0,0,5,1,0,6,0,0,0,0,0,0,6
Himachal Pradesh,2002,Failure in Examination,1,6,0,0,0,7,0,5,0,0,0,5,12
Himachal Pradesh,2002,Fall in Social Reputation,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2002,Family Problems,1,7,26,6,0,40,2,22,14,3,0,41,81
Himachal Pradesh,2002,Ideological Causes/Hero Worshipping,0,0,0,1,0,1,0,0,0,0,0,0,1
Himachal Pradesh,2002,Illegitimate Pregnancy,0,0,0,0,0,0,0,2,0,0,0,2,2
Himachal Pradesh,2002,Love Affairs,0,7,1,0,0,8,0,5,0,0,0,5,13
Himachal Pradesh,2002,"Physical Abuse (Rape,Incest Etc.)",0,1,0,0,0,1,0,0,0,0,0,0,1
Himachal Pradesh,2002,Poverty,0,0,3,2,0,5,0,0,1,1,0,2,7
Himachal Pradesh,2002,Professional/Career Problem,0,0,0,0,0,0,0,2,0,0,0,2,2
Himachal Pradesh,2002,Property Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2002,Unemployment,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2002,Causes Not known,0,16,13,3,2,34,0,6,2,1,0,9,43
Himachal Pradesh,2002,Other Causes (Please Specity),2,34,21,5,1,63,1,15,10,0,0,26,89
Himachal Pradesh,2002,Total,4,87,82,29,6,208,3,76,37,8,2,126,334
Himachal Pradesh,2002,Total Illness,0,9,10,11,3,33,0,8,7,3,2,20,53
Himachal Pradesh,2003,Bankruptcy or Sudden change in Economic,0,0,2,2,0,4,0,0,0,0,0,0,4
Himachal Pradesh,2003,Suspected/Illicit Relation,0,4,2,1,0,7,0,2,3,0,0,5,12
Himachal Pradesh,2003,Cancellation/Non-Settlement of Marriage,0,2,1,0,0,3,0,2,0,0,0,2,5
Himachal Pradesh,2003,Not having Children(Barrenness/Impotency,0,0,0,2,0,2,0,1,0,1,0,2,4
Himachal Pradesh,2003,Illness (Aids/STD),0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Cancer,0,0,0,1,0,1,0,0,0,0,0,0,1
Himachal Pradesh,2003,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Insanity/Mental Illness,0,7,5,9,7,28,0,2,3,7,2,14,42
Himachal Pradesh,2003,Other Prolonged Illness,0,2,6,9,2,19,0,1,2,1,0,4,23
Himachal Pradesh,2003,Death of Dear Person,0,1,0,0,0,1,0,0,0,0,0,0,1
Himachal Pradesh,2003,Dowry Dispute,0,0,0,0,0,0,0,5,0,0,0,5,5
Himachal Pradesh,2003,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Drug Abuse/Addiction,0,0,1,0,0,1,0,0,0,0,0,0,1
Himachal Pradesh,2003,Failure in Examination,2,1,0,0,0,3,2,5,1,0,0,8,11
Himachal Pradesh,2003,Fall in Social Reputation,0,0,0,0,0,0,0,1,0,0,0,1,1
Himachal Pradesh,2003,Family Problems,0,8,17,7,2,34,0,15,14,1,0,30,64
Himachal Pradesh,2003,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Love Affairs,0,7,2,0,0,9,0,12,0,0,0,12,21
Himachal Pradesh,2003,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Poverty,0,0,1,1,0,2,0,0,1,0,0,1,3
Himachal Pradesh,2003,Professional/Career Problem,0,3,3,0,0,6,0,0,0,0,0,0,6
Himachal Pradesh,2003,Property Dispute,0,1,2,4,0,7,0,0,2,1,0,3,10
Himachal Pradesh,2003,Unemployment,0,1,0,0,0,1,0,1,0,0,0,1,2
Himachal Pradesh,2003,Causes Not known,0,18,13,16,0,47,3,10,6,1,0,20,67
Himachal Pradesh,2003,Other Causes (Please Specity),0,23,26,11,5,65,0,15,14,9,0,38,103
Himachal Pradesh,2003,Total,2,78,81,63,16,240,5,72,46,21,2,146,386
Himachal Pradesh,2003,Total Illness,0,9,11,19,9,48,0,3,5,8,2,18,66
Himachal Pradesh,2004,Bankruptcy or Sudden change in Economic,0,0,0,0,0,0,1,0,1,0,0,2,2
Himachal Pradesh,2004,Suspected/Illicit Relation,0,0,1,1,0,2,0,1,3,0,0,4,6
Himachal Pradesh,2004,Cancellation/Non-Settlement of Marriage,0,3,0,0,0,3,0,6,0,0,0,6,9
Himachal Pradesh,2004,Not having Children(Barrenness/Impotency,0,1,0,0,0,1,0,1,0,0,0,1,2
Himachal Pradesh,2004,Illness (Aids/STD),0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2004,Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2004,Paralysis,0,0,1,0,0,1,0,0,0,0,0,0,1
Himachal Pradesh,2004,Insanity/Mental Illness,0,4,7,3,0,14,0,4,0,3,1,8,22
Himachal Pradesh,2004,Other Prolonged Illness,0,4,7,6,2,19,0,2,1,3,1,7,26
Himachal Pradesh,2004,Death of Dear Person,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2004,Dowry Dispute,0,0,0,0,0,0,0,4,0,0,0,4,4
Himachal Pradesh,2004,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2004,Drug Abuse/Addiction,0,3,0,1,0,4,0,0,0,0,0,0,4
Himachal Pradesh,2004,Failure in Examination,1,1,0,0,0,2,0,5,0,0,0,5,7
Himachal Pradesh,2004,Fall in Social Reputation,0,2,0,4,0,6,0,0,0,0,0,0,6
Himachal Pradesh,2004,Family Problems,0,26,26,9,3,64,1,15,17,2,0,35,99
Himachal Pradesh,2004,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2004,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2004,Love Affairs,0,7,0,0,0,7,0,7,1,0,0,8,15
Himachal Pradesh,2004,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,1,0,0,0,1,1
Himachal Pradesh,2004,Poverty,0,0,1,0,0,1,0,0,0,0,0,0,1
Himachal Pradesh,2004,Professional/Career Problem,0,2,1,0,0,3,0,1,0,0,0,1,4
Himachal Pradesh,2004,Property Dispute,0,2,2,0,0,4,0,0,0,0,0,0,4
Himachal Pradesh,2004,Unemployment,0,2,2,0,0,4,0,1,0,0,0,1,5
Himachal Pradesh,2004,Causes Not known,0,16,23,11,7,57,0,13,9,3,0,25,82
Himachal Pradesh,2004,Other Causes (Please Specity),4,4,11,19,6,44,2,10,10,3,2,27,71
Himachal Pradesh,2004,Total,5,77,82,54,18,236,4,71,42,14,4,135,371
Himachal Pradesh,2004,Total Illness,0,8,15,9,2,34,0,6,1,6,2,15,49
Himachal Pradesh,2005,Bankruptcy or Sudden change in Economic,0,1,1,0,0,2,0,0,0,0,0,0,2
Himachal Pradesh,2005,Suspected/Illicit Relation,0,1,4,0,0,5,0,2,2,0,0,4,9
Himachal Pradesh,2005,Cancellation/Non-Settlement of Marriage,0,3,1,0,0,4,0,4,3,0,0,7,11
Himachal Pradesh,2005,Not having Children(Barrenness/Impotency,0,0,1,0,1,2,0,0,0,0,0,0,2
Himachal Pradesh,2005,Illness (Aids/STD),0,1,1,0,0,2,0,0,0,0,0,0,2
Himachal Pradesh,2005,Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2005,Paralysis,0,0,0,0,0,0,1,1,0,0,0,2,2
Himachal Pradesh,2005,Insanity/Mental Illness,0,3,3,3,2,11,0,5,1,0,0,6,17
Himachal Pradesh,2005,Other Prolonged Illness,0,3,6,5,2,16,0,6,7,2,0,15,31
Himachal Pradesh,2005,Death of Dear Person,0,0,0,0,0,0,0,1,0,0,0,1,1
Himachal Pradesh,2005,Dowry Dispute,0,0,0,0,0,0,0,2,3,1,0,6,6
Himachal Pradesh,2005,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2005,Drug Abuse/Addiction,0,1,1,0,3,5,0,0,0,0,0,0,5
Himachal Pradesh,2005,Failure in Examination,0,5,0,0,0,5,0,8,0,0,0,8,13
Himachal Pradesh,2005,Fall in Social Reputation,0,0,2,1,0,3,0,0,0,0,0,0,3
Himachal Pradesh,2005,Family Problems,0,12,26,15,4,57,0,25,18,4,0,47,104
Himachal Pradesh,2005,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2005,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2005,Love Affairs,0,10,1,0,0,11,0,9,1,0,0,10,21
Himachal Pradesh,2005,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2005,Poverty,0,0,0,2,0,2,0,0,0,1,0,1,3
Himachal Pradesh,2005,Professional/Career Problem,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2005,Property Dispute,0,0,2,0,0,2,0,0,0,0,0,0,2
Himachal Pradesh,2005,Unemployment,0,1,7,0,0,8,0,1,1,0,0,2,10
Himachal Pradesh,2005,Causes Not known,0,8,9,6,3,26,0,3,2,3,1,9,35
Himachal Pradesh,2005,Other Causes (Please Specity),2,20,21,10,0,53,0,14,9,2,2,27,80
Himachal Pradesh,2005,Total,2,69,86,42,15,214,1,81,47,13,3,145,359
Himachal Pradesh,2005,Total Illness,0,7,10,8,4,29,1,12,8,2,0,23,52
Himachal Pradesh,2006,Bankruptcy or Sudden change in Economic,0,0,1,1,0,2,0,0,0,0,0,0,2
Himachal Pradesh,2006,Suspected/Illicit Relation,0,1,1,0,0,2,0,2,1,0,0,3,5
Himachal Pradesh,2006,Cancellation/Non-Settlement of Marriage,0,2,2,0,0,4,0,1,2,1,0,4,8
Himachal Pradesh,2006,Not having Children(Barrenness/Impotency,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2006,Illness (Aids/STD),0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2006,Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2006,Paralysis,0,0,2,1,0,3,0,1,1,0,0,2,5
Himachal Pradesh,2006,Insanity/Mental Illness,0,10,12,6,1,29,0,1,2,3,3,9,38
Himachal Pradesh,2006,Other Prolonged Illness,0,7,20,7,8,42,0,2,7,7,2,18,60
Himachal Pradesh,2006,Death of Dear Person,0,0,0,0,0,0,0,1,0,0,0,1,1
Himachal Pradesh,2006,Dowry Dispute,0,0,0,0,0,0,0,2,1,3,0,6,6
Himachal Pradesh,2006,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2006,Drug Abuse/Addiction,0,4,6,1,0,11,0,1,0,1,0,2,13
Himachal Pradesh,2006,Failure in Examination,1,5,0,0,0,6,0,4,0,0,0,4,10
Himachal Pradesh,2006,Fall in Social Reputation,0,1,2,0,0,3,0,0,0,0,0,0,3
Himachal Pradesh,2006,Family Problems,0,17,30,26,8,81,0,21,11,12,2,46,127
Himachal Pradesh,2006,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2006,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2006,Love Affairs,0,9,1,0,0,10,0,8,2,0,0,10,20
Himachal Pradesh,2006,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2006,Poverty,0,0,2,2,0,4,0,0,0,0,0,0,4
Himachal Pradesh,2006,Professional/Career Problem,0,0,0,1,0,1,0,0,0,0,0,0,1
Himachal Pradesh,2006,Property Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2006,Unemployment,0,0,3,1,0,4,0,1,1,0,0,2,6
Himachal Pradesh,2006,Causes Not known,0,15,19,7,2,43,0,12,7,6,1,26,69
Himachal Pradesh,2006,Other Causes (Please Specity),3,19,20,12,2,56,1,10,8,4,0,23,79
Himachal Pradesh,2006,Total,4,90,121,65,21,301,1,67,43,37,8,156,457
Himachal Pradesh,2006,Total Illness,0,17,34,14,9,74,0,4,10,10,5,29,103
Himachal Pradesh,2007,Bankruptcy or Sudden change in Economic,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Suspected/Illicit Relation,0,2,1,0,0,3,0,1,1,0,0,2,5
Himachal Pradesh,2007,Cancellation/Non-Settlement of Marriage,0,4,3,0,0,7,0,4,2,0,0,6,13
Himachal Pradesh,2007,Not having Children(Barrenness/Impotency,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Illness (Aids/STD),0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Paralysis,0,0,1,0,0,1,0,0,0,0,0,0,1
Himachal Pradesh,2007,Insanity/Mental Illness,0,9,14,6,2,31,0,3,7,0,1,11,42
Himachal Pradesh,2007,Other Prolonged Illness,0,1,9,7,7,24,0,1,3,3,6,13,37
Himachal Pradesh,2007,Death of Dear Person,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Dowry Dispute,0,0,0,0,0,0,0,3,0,0,0,3,3
Himachal Pradesh,2007,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Drug Abuse/Addiction,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Failure in Examination,0,4,1,0,0,5,0,10,1,0,0,11,16
Himachal Pradesh,2007,Fall in Social Reputation,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Family Problems,0,18,36,7,11,72,0,18,17,5,2,42,114
Himachal Pradesh,2007,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Love Affairs,0,7,1,0,0,8,0,4,1,0,0,5,13
Himachal Pradesh,2007,"Physical Abuse (Rape,Incest Etc.)",0,0,0,1,0,1,0,0,0,0,1,1,2
Himachal Pradesh,2007,Poverty,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Professional/Career Problem,0,0,3,2,0,5,0,0,1,0,0,1,6
Himachal Pradesh,2007,Property Dispute,0,1,1,1,2,5,0,0,0,0,1,1,6
Himachal Pradesh,2007,Unemployment,0,2,2,1,0,5,0,0,0,0,0,0,5
Himachal Pradesh,2007,Causes Not known,2,25,19,9,4,59,0,13,6,1,2,22,81
Himachal Pradesh,2007,Other Causes (Please Specity),0,19,7,4,2,32,0,15,7,2,2,26,58
Himachal Pradesh,2007,Total,2,92,98,38,28,258,0,72,46,11,15,144,402
Himachal Pradesh,2007,Total Illness,0,10,24,13,9,56,0,4,10,3,7,24,80
Himachal Pradesh,2008,Bankruptcy or Sudden change in Economic,0,4,0,0,0,4,0,3,0,0,0,3,7
Himachal Pradesh,2008,Suspected/Illicit Relation,0,3,1,0,0,4,0,3,2,1,0,6,10
Himachal Pradesh,2008,Cancellation/Non-Settlement of Marriage,0,1,1,0,0,2,0,0,1,0,0,1,3
Himachal Pradesh,2008,Not having Children(Barrenness/Impotency,0,0,1,0,1,2,0,0,1,0,0,1,3
Himachal Pradesh,2008,Illness (Aids/STD),0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2008,Cancer,0,1,2,0,0,3,0,0,1,2,1,4,7
Himachal Pradesh,2008,Paralysis,0,0,2,1,0,3,0,0,0,1,1,2,5
Himachal Pradesh,2008,Insanity/Mental Illness,0,19,9,8,4,40,1,6,4,2,4,17,57
Himachal Pradesh,2008,Other Prolonged Illness,0,3,3,11,4,21,0,2,1,2,1,6,27
Himachal Pradesh,2008,Death of Dear Person,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2008,Dowry Dispute,0,0,0,0,0,0,0,2,0,0,0,2,2
Himachal Pradesh,2008,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2008,Drug Abuse/Addiction,0,1,1,3,4,9,0,0,0,0,0,0,9
Himachal Pradesh,2008,Failure in Examination,1,5,0,0,0,6,3,3,0,0,0,6,12
Himachal Pradesh,2008,Fall in Social Reputation,0,9,4,3,1,17,0,6,2,1,0,9,26
Himachal Pradesh,2008,Family Problems,0,19,22,18,8,67,1,26,16,3,4,50,117
Himachal Pradesh,2008,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2008,Illegitimate Pregnancy,0,0,0,0,0,0,0,1,0,0,0,1,1
Himachal Pradesh,2008,Love Affairs,0,7,0,1,0,8,0,6,1,0,0,7,15
Himachal Pradesh,2008,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2008,Poverty,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2008,Professional/Career Problem,0,1,0,0,1,2,0,0,0,0,0,0,2
Himachal Pradesh,2008,Property Dispute,0,1,4,2,0,7,0,1,0,0,0,1,8
Himachal Pradesh,2008,Unemployment,1,1,0,0,0,2,1,0,0,0,0,1,3
Himachal Pradesh,2008,Causes Not known,3,34,29,17,2,85,3,17,8,5,1,34,119
Himachal Pradesh,2008,Other Causes (Please Specity),1,31,36,52,15,135,1,27,20,8,6,62,197
Himachal Pradesh,2008,Total,6,140,115,116,40,417,10,103,57,25,18,213,630
Himachal Pradesh,2008,Total Illness,0,23,16,20,8,67,1,8,6,7,7,29,96
Himachal Pradesh,2009,Bankruptcy or Sudden change in Economic,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Suspected/Illicit Relation,0,1,1,0,0,2,0,2,1,0,0,3,5
Himachal Pradesh,2009,Cancellation/Non-Settlement of Marriage,0,3,0,0,0,3,0,5,0,0,0,5,8
Himachal Pradesh,2009,Not having Children(Barrenness/Impotency,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Illness (Aids/STD),0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Cancer,0,0,2,1,0,3,0,0,1,1,0,2,5
Himachal Pradesh,2009,Paralysis,0,0,0,1,0,1,0,0,0,0,0,0,1
Himachal Pradesh,2009,Insanity/Mental Illness,0,5,6,2,0,13,0,3,3,0,2,8,21
Himachal Pradesh,2009,Other Prolonged Illness,0,4,7,16,7,34,0,2,1,3,3,9,43
Himachal Pradesh,2009,Death of Dear Person,0,0,0,0,0,0,1,0,0,0,0,1,1
Himachal Pradesh,2009,Dowry Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Drug Abuse/Addiction,0,0,1,0,0,1,0,0,0,0,0,0,1
Himachal Pradesh,2009,Failure in Examination,1,2,0,0,0,3,1,2,0,0,0,3,6
Himachal Pradesh,2009,Fall in Social Reputation,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Family Problems,0,12,26,12,1,51,1,18,19,8,3,49,100
Himachal Pradesh,2009,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Love Affairs,0,13,2,0,0,15,0,10,2,0,0,12,27
Himachal Pradesh,2009,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,0,1,0,0,1,1
Himachal Pradesh,2009,Poverty,0,0,0,0,0,0,0,0,0,0,0,0,0
